name,movie_title
Brendan Fraser,Blast from the Past
Sissy Spacek,Blast from the Past
Douglas Smith,Blast from the Past
Brian Blessed,Flash Gordon
William Hootkins,Flash Gordon
Sam J. Jones,Flash Gordon
Stephen Root,Jersey Girl
Mike Starr,Jersey Girl
George Carlin,Jersey Girl
Cicely Tyson,Alex Cross
Chad Lindberg,Alex Cross
Carmen Ejogo,Alex Cross
Kevin Spacey,Midnight in the Garden of Good and Evil
Bob Gunton,Midnight in the Garden of Good and Evil
Leon Rippy,Midnight in the Garden of Good and Evil
Robert De Niro,Heist
Joshua Mikel,Heist
D.B. Sweeney,Heist
Daniel Mays,Nanny McPhee Returns
Bill Bailey,Nanny McPhee Returns
Eros Vlahos,Nanny McPhee Returns
Frank Whaley,Hoffa
J.T. Walsh,Hoffa
Paul Guilfoyle,Hoffa
Mitch Pileggi,The X Files: I Want to Believe
Callum Rennie,The X Files: I Want to Believe
Nicki Aycox,The X Files: I Want to Believe
Anne Hathaway,Ella Enchanted
Steve Coogan,Ella Enchanted
Joanna Lumley,Ella Enchanted
Will Smith,Concussion
Eddie Marsan,Concussion
Albert Brooks,Concussion
Ken Arnold,Abduction
Benjamin J. Cain Jr.,Abduction
Richard Cetrone,Abduction
Jim Broadbent,Valiant
Olivia Williams,Valiant
Pip Torrens,Valiant
Robert Downey Jr.,Wonder Boys
Rip Torn,Wonder Boys
Richard Thomas,Wonder Boys
Drake Bell,Superhero Movie
Tracy Morgan,Superhero Movie
Marion Ross,Superhero Movie
Alona Tal,Broken City
James Ransone,Broken City
Michael Beach,Broken City
Shannon Elizabeth,Cursed
Portia de Rossi,Cursed
Derek Mears,Cursed
Joseph Gordon-Levitt,Premium Rush
Dania Ramirez,Premium Rush
Aasif Mandvi,Premium Rush
Jim Gaffigan,Hot Pursuit
Richard T. Jones,Hot Pursuit
Michael Mosley,Hot Pursuit
Djimon Hounsou,The Four Feathers
Lucy Gordon,The Four Feathers
Alex Jennings,The Four Feathers
Jason Statham,Parker
Clifton Collins Jr.,Parker
Wendell Pierce,Parker
Kirsten Dunst,Wimbledon
Jon Favreau,Wimbledon
Austin Nichols,Wimbledon
Brendan Fraser,Furry Vengeance
Brooke Shields,Furry Vengeance
Matt Prokop,Furry Vengeance
Alex Russell,Bait
Cariba Heine,Bait
Richard Brancatisano,Bait
Liam Neeson,Krull
Alun Armstrong,Krull
Lysette Anthony,Krull
Meryl Streep,Lions for Lambs
Tom Cruise,Lions for Lambs
Andrew Garfield,Lions for Lambs
Rosanna Arquette,Flight of the Intruder
Dann Florek,Flight of the Intruder
Christopher Rich,Flight of the Intruder
Tim Meadows,Walk Hard: The Dewey Cox Story
Nat Faxon,Walk Hard: The Dewey Cox Story
Matt Price,Walk Hard: The Dewey Cox Story
Kevin Spacey,The Shipping News
Scott Glenn,The Shipping News
Jason Behr,The Shipping News
Gregory Smith,American Outlaws
Ronny Cox,American Outlaws
Harris Yulin,American Outlaws
Michiel Huisman,The Young Victoria
Jim Broadbent,The Young Victoria
Thomas Kretschmann,The Young Victoria
Tom Skerritt,Whiteout
Bashar Rahal,Whiteout
Shawn Doyle,Whiteout
Brad Pitt,The Tree of Life
Tye Sheridan,The Tree of Life
Fiona Shaw,The Tree of Life
Paul Sorvino,Knock Off
Lela Rochon,Knock Off
Ray Nicholas,Knock Off
Mireille Enos,Sabotage
Martin Donovan,Sabotage
Maurice Compte,Sabotage
Heath Ledger,The Order
Mark Addy,The Order
Benno Fürmann,The Order
Julie Benz,Punisher: War Zone
Wayne Knight,Punisher: War Zone
Colin Salmon,Punisher: War Zone
Kevin Zegers,Zoom
Rip Torn,Zoom
Thomas F. Wilson,Zoom
Joseph Gordon-Levitt,The Walk
Soleyman Pierini,The Walk
Jade Kindar-Martin,The Walk
Marley Shelton,Warriors of Virtue
Lee Arenberg,Warriors of Virtue
Angus Macfadyen,Warriors of Virtue
Archie Panjabi,A Good Year
Albert Finney,A Good Year
Richard Coyle,A Good Year
Adam Baldwin,Radio Flyer
Thomas Ian Nicholas,Radio Flyer
John Heard,Radio Flyer
Delroy Lindo,"Blood In, Blood Out"
Jesse Borrego,"Blood In, Blood Out"
Raymond Cruz,"Blood In, Blood Out"
Jim Broadbent,Smilla's Sense of Snow
Tom Wilkinson,Smilla's Sense of Snow
Julia Ormond,Smilla's Sense of Snow
Peter Coyote,Femme Fatale
Gregg Henry,Femme Fatale
Rie Rasmussen,Femme Fatale
Oliver Reed,Lion of the Desert
Rod Steiger,Lion of the Desert
John Gielgud,Lion of the Desert
Olivier Martinez,The Horseman on the Roof
François Cluzet,The Horseman on the Roof
Isabelle Carré,The Horseman on the Roof
Jeremy W. Auman,Ride with the Devil
Jeffrey Dover,Ride with the Devil
Tobey Maguire,Ride with the Devil
Maricel Álvarez,Biutiful
Hanaa Bouchaib,Biutiful
Eduard Fernández,Biutiful
Tamsin Egerton,The Lovers
Alice Englert,The Lovers
Bipasha Basu,The Lovers
Salma Hayek,Bandidas
Sam Shepard,Bandidas
Dwight Yoakam,Bandidas
Bill Cobbs,Black Water Transit
Aisha Tyler,Black Water Transit
Beverly D'Angelo,Black Water Transit
Ki Hong Lee,The Maze Runner
Aml Ameen,The Maze Runner
Jacob Latimore,The Maze Runner
Tom Wilkinson,Unfinished Business
June Diane Raphael,Unfinished Business
Melissa McMeekin,Unfinished Business
Richard E. Grant,The Age of Innocence
Geraldine Chaplin,The Age of Innocence
Stuart Wilson,The Age of Innocence
Hugh Jackman,The Fountain
Ellen Burstyn,The Fountain
Mark Margolis,The Fountain
David Paymer,Chill Factor
Kevin J. O'Connor,Chill Factor
Hudson Leick,Chill Factor
Nicolas Cage,Stolen
Mark Valley,Stolen
Sami Gayle,Stolen
Rumi Hiiragi,Ponyo
Yûki Amami,Ponyo
Yuria Nara,Ponyo
Tiago Riani,The Longest Ride
Melissa Benoist,The Longest Ride
Hayley Lovitt,The Longest Ride
Johnny Depp,The Astronaut's Wife
Charlize Theron,The Astronaut's Wife
Clea DuVall,The Astronaut's Wife
Liam Aiken,I Dreamed of Africa
Eva Marie Saint,I Dreamed of Africa
Vincent Perez,I Dreamed of Africa
Gerard Butler,Playing for Keeps
Dennis Quaid,Playing for Keeps
Judy Greer,Playing for Keeps
Terry Pheto,Mandela: Long Walk to Freedom
Fana Mokoena,Mandela: Long Walk to Freedom
Tony Kgoroge,Mandela: Long Walk to Freedom
Paul Sorvino,Reds
Warren Beatty,Reds
M. Emmet Walsh,Reds
Tom Cruise,A Few Good Men
Demi Moore,A Few Good Men
Kevin Pollak,A Few Good Men
Michael Jai White,Exit Wounds
Bill Duke,Exit Wounds
Bruce McGill,Exit Wounds
Nia Long,Big Momma's House
Cedric the Entertainer,Big Momma's House
Tichina Arnold,Big Momma's House
Kyle Hebert,Thunder and the House of Magic
Brianne Brozey,Thunder and the House of Magic
Joe Ochman,Thunder and the House of Magic
Max Minghella,The Darkest Hour
Veronika Vernadskaya,The Darkest Hour
Dato Bakhtadze,The Darkest Hour
Ryan Guzman,Step Up Revolution
Stephen Boss,Step Up Revolution
Misha Gabriel Hamilton,Step Up Revolution
Lin Shaye,Snakes on a Plane
Kenan Thompson,Snakes on a Plane
Rachel Blanchard,Snakes on a Plane
Keanu Reeves,The Watcher
Joseph Sikora,The Watcher
Chris Ellis,The Watcher
Laura Harring,The Punisher
Marco St. John,The Punisher
Eddie Jemison,The Punisher
Sean Pertwee,Goal! The Dream Begins
Kuno Becker,Goal! The Dream Begins
Stephen Dillane,Goal! The Dream Begins
Jason Statham,Safe
Reggie Lee,Safe
Robert John Burke,Safe
Angelina Jolie Pitt,Pushing Tin
Kurt Fuller,Pushing Tin
Jake Weber,Pushing Tin
Harrison Ford,Star Wars: Episode VI - Return of the Jedi
Ian McDiarmid,Star Wars: Episode VI - Return of the Jedi
Kenny Baker,Star Wars: Episode VI - Return of the Jedi
Ryan Kruger,Doomsday
Jason Cope,Doomsday
Jeremy Crutchley,Doomsday
Kate Winslet,The Reader
David Kross,The Reader
Susanne Lothar,The Reader
Justin Theroux,Wanderlust
Lauren Ambrose,Wanderlust
Joe Lo Truglio,Wanderlust
Peter Dinklage,Elf
Zooey Deschanel,Elf
Will Ferrell,Elf
Robert Duvall,Phenomenon
Kyra Sedgwick,Phenomenon
David Gallagher,Phenomenon
James Coburn,Snow Dogs
Nichelle Nichols,Snow Dogs
M. Emmet Walsh,Snow Dogs
Bill Murray,Scrooged
Alfre Woodard,Scrooged
Robert Mitchum,Scrooged
Ana de la Reguera,Nacho Libre
Moises Arias,Nacho Libre
Héctor Jiménez,Nacho Libre
Matt Lucas,Bridesmaids
Wendi McLendon-Covey,Bridesmaids
Steve Bannos,Bridesmaids
Channing Tatum,This Is the End
James Franco,This Is the End
Emma Watson,This Is the End
Nia Long,Stigmata
Enrico Colantoni,Stigmata
Portia de Rossi,Stigmata
Robert De Niro,Men of Honor
Charlize Theron,Men of Honor
Michael Rapaport,Men of Honor
Paul Walker,Takers
Hayden Christensen,Takers
Jay Hernandez,Takers
Robin Williams,The Big Wedding
Robert De Niro,The Big Wedding
Topher Grace,The Big Wedding
Brandon T. Jackson,"Big Mommas: Like Father, Like Son"
Tony Curran,"Big Mommas: Like Father, Like Son"
Portia Doubleday,"Big Mommas: Like Father, Like Son"
Jake Gyllenhaal,Source Code
Cas Anvar,Source Code
Russell Peters,Source Code
Illeana Douglas,Alive
Danny Nucci,Alive
Michael DeLorenzo,Alive
Logan Lerman,The Number 23
Virginia Madsen,The Number 23
Ed Lauter,The Number 23
Callum Rennie,The Young and Prodigious T.S. Spivet
Julian Richings,The Young and Prodigious T.S. Spivet
Judy Davis,The Young and Prodigious T.S. Spivet
Christopher Lee,1941
John Belushi,1941
Treat Williams,1941
Ken Howard,Dreamer: Inspired by a True Story
Freddy Rodríguez,Dreamer: Inspired by a True Story
Holmes Osborne,Dreamer: Inspired by a True Story
Viggo Mortensen,A History of Violence
Kyle Schmid,A History of Violence
William Hurt,A History of Violence
Jason Statham,Transporter 2
Jason Flemyng,Transporter 2
Matthew Modine,Transporter 2
Leonardo DiCaprio,The Quick and the Dead
Pat Hingle,The Quick and the Dead
Roberts Blossom,The Quick and the Dead
Frances Fisher,Laws of Attraction
Mike Doyle,Laws of Attraction
Nora Dunn,Laws of Attraction
Nicolas Cage,Bringing Out the Dead
Marc Anthony,Bringing Out the Dead
Sonja Sohn,Bringing Out the Dead
Alice Braga,Repo Men
RZA,Repo Men
Yvette Nicole Brown,Repo Men
Robert Forster,Dragon Wars: D-War
Aimee Garcia,Dragon Wars: D-War
Chris Mulkey,Dragon Wars: D-War
Haley Joel Osment,Bogus
Nancy Travis,Bogus
Andrea Martin,Bogus
Steve Buscemi,The Incredible Burt Wonderstone
Olivia Wilde,The Incredible Burt Wonderstone
Steve Carell,The Incredible Burt Wonderstone
George Kennedy,Cats Don't Dance
Frank Welker,Cats Don't Dance
Hal Holbrook,Cats Don't Dance
Bill Murray,Cradle Will Rock
Vanessa Redgrave,Cradle Will Rock
Emily Watson,Cradle Will Rock
Tony Curran,The Good German
Beau Bridges,The Good German
Leland Orser,The Good German
Joan Plowright,George and the Dragon
Rollo Weeks,George and the Dragon
Simon Callow,George and the Dragon
Harrison Ford,Apocalypse Now
Marlon Brando,Apocalypse Now
Robert Duvall,Apocalypse Now
Rob Riggle,Going the Distance
Kelli Garner,Going the Distance
Jim Gaffigan,Going the Distance
Alicia Witt,Mr. Holland's Opus
Olympia Dukakis,Mr. Holland's Opus
Jean Louisa Kelly,Mr. Holland's Opus
Gary Oldman,Criminal
Jordi Mollà,Criminal
Doug Cockle,Criminal
Meryl Streep,Out of Africa
Michael Gough,Out of Africa
Michael Kitchen,Out of Africa
Denzel Washington,Flight
Bruce Greenwood,Flight
Nadine Velazquez,Flight
Desmond Llewelyn,Moonraker
Lois Chiles,Moonraker
Lois Maxwell,Moonraker
Bill Murray,The Grand Budapest Hotel
Tom Wilkinson,The Grand Budapest Hotel
F. Murray Abraham,The Grand Budapest Hotel
Anthony Hopkins,Hearts in Atlantis
Mika Boorem,Hearts in Atlantis
Hope Davis,Hearts in Atlantis
Julian Sands,Arachnophobia
Peter Jason,Arachnophobia
Brian McNamara,Arachnophobia
Dennis Quaid,Frequency
Andre Braugher,Frequency
Noah Emmerich,Frequency
Ed Begley Jr.,Ghostbusters
Kate McKinnon,Ghostbusters
Zach Woods,Ghostbusters
Chris Hemsworth,Vacation
Norman Reedus,Vacation
Beverly D'Angelo,Vacation
Delroy Lindo,Get Shorty
Rene Russo,Get Shorty
Jon Gries,Get Shorty
Colm Feore,Chicago
Chita Rivera,Chicago
Jayne Eastwood,Chicago
Steve Buscemi,Big Daddy
Adam Sandler,Big Daddy
Joey Lauren Adams,Big Daddy
Alyson Hannigan,American Pie 2
Shannon Elizabeth,American Pie 2
Natasha Lyonne,American Pie 2
Tom Hanks,Toy Story
John Ratzenberger,Toy Story
Jim Varney,Toy Story
Keanu Reeves,Speed
Alan Ruck,Speed
Joe Morton,Speed
Channing Tatum,The Vow
Lucas Bryant,The Vow
Dillon Casey,The Vow
Harrison Ford,Extraordinary Measures
Brendan Fraser,Extraordinary Measures
Alan Ruck,Extraordinary Measures
Ryan Gosling,Remember the Titans
Denzel Washington,Remember the Titans
Ethan Suplee,Remember the Titans
Scott Glenn,The Hunt for Red October
Jeffrey Jones,The Hunt for Red October
Courtney B. Vance,The Hunt for Red October
Alex Pettyfer,Lee Daniels' The Butler
David Oyelowo,Lee Daniels' The Butler
Vanessa Redgrave,Lee Daniels' The Butler
Gary Cole,Dodgeball: A True Underdog Story
Stephen Root,Dodgeball: A True Underdog Story
Joel David Moore,Dodgeball: A True Underdog Story
Anjelica Huston,The Addams Family
Raul Julia,The Addams Family
Carel Struycken,The Addams Family
Bruce Spence,Ace Ventura: When Nature Calls
Bob Gunton,Ace Ventura: When Nature Calls
Sophie Okonedo,Ace Ventura: When Nature Calls
Anne Hathaway,The Princess Diaries
Hector Elizondo,The Princess Diaries
Heather Matarazzo,The Princess Diaries
Stockard Channing,The First Wives Club
Elizabeth Berkley,The First Wives Club
Stephen Collins,The First Wives Club
Morgan Freeman,Se7en
Brad Pitt,Se7en
Reg E. Cathey,Se7en
Sharlto Copley,District 9
Jed Brophy,District 9
Jason Cope,District 9
Scarlett Johansson,The SpongeBob SquarePants Movie
Bill Fagerbakke,The SpongeBob SquarePants Movie
Rodger Bumpass,The SpongeBob SquarePants Movie
John Doman,Mystic River
Spencer Treat Clark,Mystic River
Tom Guiry,Mystic River
Clint Eastwood,Million Dollar Baby
Morgan Freeman,Million Dollar Baby
Mike Colter,Million Dollar Baby
Robert De Niro,Analyze This
Chazz Palminteri,Analyze This
Molly Shannon,Analyze This
Ryan Gosling,The Notebook
Kevin Connolly,The Notebook
Gena Rowlands,The Notebook
Judy Greer,27 Dresses
Bern Cohen,27 Dresses
Yetta Gottesman,27 Dresses
Emily Osment,Hannah Montana: The Movie
Vanessa Williams,Hannah Montana: The Movie
Moises Arias,Hannah Montana: The Movie
Elizabeth Daily,Rugrats in Paris: The Movie
Casey Kasem,Rugrats in Paris: The Movie
Debbie Reynolds,Rugrats in Paris: The Movie
George Carlin,The Prince of Tides
Blythe Danner,The Prince of Tides
Melinda Dillon,The Prince of Tides
Anthony Hopkins,Legends of the Fall
Brad Pitt,Legends of the Fall
Julia Ormond,Legends of the Fall
J.K. Simmons,Up in the Air
Anna Kendrick,Up in the Air
Chris Lowell,Up in the Air
Hope Davis,About Schmidt
June Squibb,About Schmidt
Howard Hesseman,About Schmidt
Cory Hardrict,Warm Bodies
Vincent Leclerc,Warm Bodies
Daniel Rindress-Kay,Warm Bodies
Joseph Gordon-Levitt,Looper
Bruce Willis,Looper
Tracie Thoms,Looper
Chazz Palminteri,Down to Earth
Mark Addy,Down to Earth
Wanda Sykes,Down to Earth
Miriam Margolyes,Babe
Christine Cavanaugh,Babe
Roscoe Lee Browne,Babe
Meryl Streep,Hope Springs
Steve Carell,Hope Springs
Jean Smart,Hope Springs
Mila Kunis,Forgetting Sarah Marshall
Jack McBrayer,Forgetting Sarah Marshall
Maria Thayer,Forgetting Sarah Marshall
Josh Charles,Four Brothers
Tony Nappo,Four Brothers
Fionnula Flanagan,Four Brothers
Tina Fey,Baby Mama
Amy Poehler,Baby Mama
Romany Malco,Baby Mama
Bill Cobbs,Hope Floats
Harry Connick Jr.,Hope Floats
Gena Rowlands,Hope Floats
Anne Hathaway,Bride Wars
Steve Howey,Bride Wars
Candice Bergen,Bride Wars
Antony Starr,Without a Paddle
Scott Adsit,Without a Paddle
Bonnie Somerville,Without a Paddle
Jennifer Garner,13 Going on 30
Judy Greer,13 Going on 30
Christa B. Allen,13 Going on 30
Kurt Fuller,Midnight in Paris
Audrey Fleurot,Midnight in Paris
Nina Arianda,Midnight in Paris
Liam Neeson,The Nut Job
Brendan Fraser,The Nut Job
Sarah Gadon,The Nut Job
Johnny Depp,Blow
Ethan Suplee,Blow
Jordi Mollà,Blow
Robin Wright,Message in a Bottle
John Savage,Message in a Bottle
Raphael Sbarge,Message in a Bottle
Leonard Nimoy,Star Trek V: The Final Frontier
Nichelle Nichols,Star Trek V: The Final Frontier
Walter Koenig,Star Trek V: The Final Frontier
Brenda Song,Like Mike
Robert Forster,Like Mike
Anne Meara,Like Mike
George Kennedy,Naked Gun 33 1/3: The Final Insult
Fred Ward,Naked Gun 33 1/3: The Final Insult
Priscilla Presley,Naked Gun 33 1/3: The Final Insult
Patrick Macnee,A View to a Kill
Alison Doody,A View to a Kill
Tanya Roberts,A View to a Kill
Mark Gatiss,The Curse of the Were-Rabbit
Geraldine McEwan,The Curse of the Were-Rabbit
Peter Sallis,The Curse of the Were-Rabbit
Gerard Butler,P.S. I Love You
Harry Connick Jr.,P.S. I Love You
Nellie McKay,P.S. I Love You
Bruce Greenwood,Racing Stripes
Frankie Muniz,Racing Stripes
M. Emmet Walsh,Racing Stripes
Benedict Cumberbatch,Atonement
Alfie Allen,Atonement
Brenda Blethyn,Atonement
Vanessa Redgrave,Letters to Juliet
Marcia DeBonis,Letters to Juliet
Luisa Ranieri,Letters to Juliet
Stephen Root,Black Rain
Ken Takakura,Black Rain
Kate Capshaw,Black Rain
Kate Upton,The Three Stooges
Larry David,The Three Stooges
Sean Hayes,The Three Stooges
Johnny Depp,Corpse Bride
Christopher Lee,Corpse Bride
Joanna Lumley,Corpse Bride
Mehcad Brooks,Glory Road
Austin Nichols,Glory Road
Derek Luke,Glory Road
Edgar Arreola,Sicario
Bernardo Saracino,Sicario
Daniel Kaluuya,Sicario
Jake Gyllenhaal,Southpaw
50 Cent,Southpaw
Oona Laurence,Southpaw
Bojana Novakovic,Drag Me to Hell
Alison Lohman,Drag Me to Hell
Reggie Lee,Drag Me to Hell
Harrison Ford,The Age of Adaline
Michiel Huisman,The Age of Adaline
Ellen Burstyn,The Age of Adaline
Haley Joel Osment,Secondhand Lions
Robert Duvall,Secondhand Lions
Emmanuelle Vaugier,Secondhand Lions
Alyson Stoner,Step Up 3D
Stephen Boss,Step Up 3D
Facundo Lombard,Step Up 3D
Faizon Love,Blue Crush
Mika Boorem,Blue Crush
Sanoe Lake,Blue Crush
Will Ferrell,Stranger Than Fiction
Christian Stolte,Stranger Than Fiction
Danny Rhodes,Stranger Than Fiction
Danny Huston,30 Days of Night
Mark Rendall,30 Days of Night
Megan Franich,30 Days of Night
Chris Hemsworth,The Cabin in the Woods
Bradley Whitford,The Cabin in the Woods
Kristen Connolly,The Cabin in the Woods
Carmen Electra,Meet the Spartans
Diedrich Bader,Meet the Spartans
Method Man,Meet the Spartans
Robert De Niro,Midnight Run
Yaphet Kotto,Midnight Run
Philip Baker Hall,Midnight Run
Yaphet Kotto,The Running Man
Maria Conchita Alonso,The Running Man
Richard Dawson,The Running Man
Bill Murray,Little Shop of Horrors
Jim Belushi,Little Shop of Horrors
Tisha Campbell-Martin,Little Shop of Horrors
Jessica Barden,Hanna
Vicky Krieps,Hanna
John Macmillan,Hanna
Brian Thompson,Mortal Kombat: Annihilation
Talisa Soto,Mortal Kombat: Annihilation
Robin Shou,Mortal Kombat: Annihilation
Tom Hanks,Larry Crowne
Rob Riggle,Larry Crowne
Randall Park,Larry Crowne
Chloë Grace Moretz,Carrie
Judy Greer,Carrie
Portia Doubleday,Carrie
Alfre Woodard,Take the Lead
Yaya DaCosta,Take the Lead
Jasika Nicole,Take the Lead
Dwayne Johnson,Gridiron Gang
Jurnee Smollett-Bell,Gridiron Gang
Kevin Dunn,Gridiron Gang
Bernie Mac,What's the Worst That Could Happen?
Larry Miller,What's the Worst That Could Happen?
Richard Schiff,What's the Worst That Could Happen?
Martin Landau,9
Alan Oppenheimer,9
Tom Kane,9
Channing Tatum,Side Effects
David Costabile,Side Effects
Katie Lowes,Side Effects
Devin Ratray,The Prince and Me
Miranda Richardson,The Prince and Me
Luke Mably,The Prince and Me
Craig Ferguson,Winnie the Pooh
Robert Lopez,Winnie the Pooh
Huell Howser,Winnie the Pooh
Elden Henson,Dumb and Dumberer: When Harry Met Lloyd
Mimi Rogers,Dumb and Dumberer: When Harry Met Lloyd
Cheri Oteri,Dumb and Dumberer: When Harry Met Lloyd
Warren Beatty,Bulworth
Kirk Baltz,Bulworth
Graham Beckel,Bulworth
Tika Sumpter,Get on Up
Josh Hopkins,Get on Up
Aunjanue Ellis,Get on Up
Meryl Streep,One True Thing
William Hurt,One True Thing
Tom Everett Scott,One True Thing
Denzel Washington,Virtuosity
Costas Mandylor,Virtuosity
Traci Lords,Virtuosity
Rainn Wilson,My Super Ex-Girlfriend
Eddie Izzard,My Super Ex-Girlfriend
Wanda Sykes,My Super Ex-Girlfriend
Olivia Munn,Deliver Us from Evil
Dorian Missick,Deliver Us from Evil
Edgar Ramírez,Deliver Us from Evil
Ioan Gruffudd,Sanctum
Rhys Wakefield,Sanctum
Richard Roxburgh,Sanctum
Holly Hunter,Little Black Book
Kevin Sussman,Little Black Book
Dave Annable,Little Black Book
Alison Brie,The Five-Year Engagement
Jacki Weaver,The Five-Year Engagement
David Paymer,The Five-Year Engagement
Bernie Mac,Mr 3000
Chris Noth,Mr 3000
Paul Sorvino,Mr 3000
Olivia Wilde,The Next Three Days
Daniel Stern,The Next Three Days
Aisha Hinds,The Next Three Days
Milla Jovovich,Ultraviolet
Cameron Bright,Ultraviolet
Nick Chinlund,Ultraviolet
Brian Dennehy,Assault on Precinct 13
Drea de Matteo,Assault on Precinct 13
Hugh Dillon,Assault on Precinct 13
Mira Sorvino,The Replacement Killers
Clifton Collins Jr.,The Replacement Killers
Patrick Kilpatrick,The Replacement Killers
Salma Hayek,Fled
Stephen Baldwin,Fled
Will Patton,Fled
Scarlett Johansson,Eight Legged Freaks
Doug E. Doug,Eight Legged Freaks
Riley Smith,Eight Legged Freaks
Jake Gyllenhaal,Love & Other Drugs
Anne Hathaway,Love & Other Drugs
Judy Greer,Love & Other Drugs
Al Pacino,88 Minutes
Alicia Witt,88 Minutes
Deborah Kara Unger,88 Minutes
Jeremy Renner,North Country
Charlize Theron,North Country
Sissy Spacek,North Country
Bruce Willis,The Whole Ten Yards
Matthew Perry,The Whole Ten Yards
Natasha Henstridge,The Whole Ten Yards
Sarah Polley,Splice
David Hewlett,Splice
Delphine Chanéac,Splice
Lea Thompson,Howard the Duck
Jeffrey Jones,Howard the Duck
Jordan Prentice,Howard the Duck
Jennifer Ehle,Pride and Glory
Rick Gonzalez,Pride and Glory
Frank Grillo,Pride and Glory
Eddie Cibrian,The Cave
Cole Hauser,The Cave
Marcel Iures,The Cave
David Paymer,Alex & Emma
Lobo Sebastian,Alex & Emma
Robert Costanzo,Alex & Emma
Jessica Paré,Wicker Park
Christopher Cousins,Wicker Park
Mark Camacho,Wicker Park
Grace Phipps,Fright Night
Reid Ewing,Fright Night
Sandra Vergara,Fright Night
Christian Bale,The New World
Michael Greyeyes,The New World
Wes Studi,The New World
Saffron Burrows,Wing Commander
David Suchet,Wing Commander
Jürgen Prochnow,Wing Commander
Robert Downey Jr.,In Dreams
Aidan Quinn,In Dreams
Paul Guilfoyle,In Dreams
Ian Whyte,Dragonball: Evolution
Texas Battle,Dragonball: Evolution
Randall Duk Kim,Dragonball: Evolution
Zach Gilford,The Last Stand
James Burnett,The Last Stand
Christiana Leucas,The Last Stand
Robert De Niro,Godsend
Cameron Bright,Godsend
Munro Chambers,Godsend
Annabella Sciorra,Chasing Liberty
Stark Sands,Chasing Liberty
Terence Maynard,Chasing Liberty
Amy Poehler,Hoodwinked Too! Hood vs. Evil
Phil LaMarr,Hoodwinked Too! Hood vs. Evil
Cheech Marin,Hoodwinked Too! Hood vs. Evil
Morgan Freeman,An Unfinished Life
Camryn Manheim,An Unfinished Life
Lynda Boyd,An Unfinished Life
Andrew Garfield,The Imaginarium of Doctor Parnassus
Lily Cole,The Imaginarium of Doctor Parnassus
Verne Troyer,The Imaginarium of Doctor Parnassus
Mark Addy,Barney's Version
Atom Egoyan,Barney's Version
Paul Gross,Barney's Version
Justin Timberlake,Runner Runner
John Heard,Runner Runner
David Costabile,Runner Runner
Tyler Labine,Antitrust
Richard Roundtree,Antitrust
Ned Bellamy,Antitrust
Denzel Washington,Glory
Morgan Freeman,Glory
Matthew Broderick,Glory
Robert De Niro,Once Upon a Time in America
Burt Young,Once Upon a Time in America
Treat Williams,Once Upon a Time in America
Dominic Cooper,Dead Man Down
Isabelle Huppert,Dead Man Down
James Biberi,Dead Man Down
Al Pacino,The Merchant of Venice
Mackenzie Crook,The Merchant of Venice
Kris Marshall,The Merchant of Venice
Emir Kusturica,The Good Thief
Saïd Taghmaoui,The Good Thief
Tchéky Karyo,The Good Thief
Channing Tatum,Supercross
Mike Vogel,Supercross
Steve Howey,Supercross
Emily Watson,Miss Potter
Bill Paterson,Miss Potter
Lucy Boynton,Miss Potter
Dong-gun Jang,The Promise
Toby Leonard Moore,The Promise
Nicholas Tse,The Promise
Steve Howey,DOA: Dead or Alive
Holly Valance,DOA: Dead or Alive
Sarah Carter,DOA: Dead or Alive
Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford
Jeremy Renner,The Assassination of Jesse James by the Coward Robert Ford
Sam Shepard,The Assassination of Jesse James by the Coward Robert Ford
Bingbing Li,1911
Joan Chen,1911
Jaycee Chan,1911
Louise Bourgoin,Little Nicholas
Sandrine Kiberlain,Little Nicholas
Kad Merad,Little Nicholas
Jason Statham,Wild Card
Michael Angarano,Wild Card
Jason Alexander,Wild Card
Gerard Butler,Machine Gun Preacher
Madeline Carroll,Machine Gun Preacher
Kathy Baker,Machine Gun Preacher
Jim Broadbent,Animals United
Vanessa Redgrave,Animals United
James Corden,Animals United
Terry Pheto,The Color of Freedom
Patrick Lyster,The Color of Freedom
Tyrone Keogh,The Color of Freedom
Fisher Stevens,United Passions
Thomas Kretschmann,United Passions
Jemima West,United Passions
Paz Vega,Grace of Monaco
Frank Langella,Grace of Monaco
Derek Jacobi,Grace of Monaco
Konstantin Khabenskiy,A Warrior's Tail
Fedor Bondarchuk,A Warrior's Tail
Sergey Garmash,A Warrior's Tail
Ray Winstone,Ripley's Game
Dougray Scott,Ripley's Game
Chiara Caselli,Ripley's Game
James Franco,Sausage Party
Salma Hayek,Sausage Party
Anders Holm,Sausage Party
Anna Kendrick,Pitch Perfect 2
Birgitte Hjort Sørensen,Pitch Perfect 2
Hana Mae Lee,Pitch Perfect 2
Sandra Ellis Lafferty,Walk the Line
Dallas Roberts,Walk the Line
Tyler Hilton,Walk the Line
Lisa Edelstein,Keeping the Faith
Milos Forman,Keeping the Faith
Anne Bancroft,Keeping the Faith
Jim Broadbent,The Borrowers
Bradley Pierce,The Borrowers
Mark Williams,The Borrowers
Toby Jones,Frost/Nixon
Clint Howard,Frost/Nixon
Oliver Platt,Frost/Nixon
