title,year,duration,budget,gross,rating,language,country,numfacebooklikes
Alex Rider: Operation Stormbreaker,2006,93.0,40000000.0,652526.0,PG,English,Germany,823
Disturbia,2007,105.0,20000000.0,80050171.0,PG-13,English,USA,0
Hackers,1995,107.0,20000000.0,7564000.0,PG-13,English,USA,12000
The Hunting Party,2007,101.0,25000000.0,876671.0,R,English,USA,0
The Hudsucker Proxy,1994,111.0,30000000.0,2869369.0,PG,English,UK,0
The Warlords,2007,113.0,40000000.0,128978.0,R,Mandarin,Hong Kong,0
Nomad: The Warrior,2005,112.0,25000000.0,77231.0,R,Kazakh,France,265
Snowpiercer,2013,126.0,39200000.0,4563029.0,R,English,South Korea,58000
A Monster in Paris,2011,90.0,25000000.0,,PG,French,France,0
The Last Shot,2004,93.0,,463730.0,R,English,USA,89
The Crow,1994,98.0,23000000.0,50693162.0,R,English,USA,15000
Baahubali: The Beginning,2015,159.0,18026148.0,6498000.0,,Telugu,India,21000
The Time Traveler's Wife,2009,107.0,39000000.0,63411478.0,PG-13,English,USA,13000
Because I Said So,2007,102.0,,42640890.0,PG-13,English,USA,0
Frankenweenie,2012,87.0,39000000.0,35287788.0,PG,English,USA,25000
Serenity,2005,119.0,40000000.0,25335935.0,PG-13,English,USA,14000
Against the Ropes,2004,110.0,39000000.0,5881504.0,PG-13,English,USA,177
Superman III,1983,125.0,39000000.0,60000000.0,PG,English,UK,0
Grudge Match,2013,113.0,40000000.0,29802761.0,PG-13,English,USA,12000
Red Cliff,2008,150.0,553632000.0,626809.0,R,Mandarin,China,0
Sweet Home Alabama,2002,108.0,38000000.0,127214072.0,PG-13,English,USA,0
The Ugly Truth,2009,96.0,38000000.0,88915214.0,R,English,USA,9000
Sgt. Bilko,1996,93.0,39000000.0,30400000.0,PG,English,USA,478
Spy Kids 2: Island of Lost Dreams,2002,100.0,38000000.0,85570368.0,PG,English,USA,478
Star Trek: Generations,1994,118.0,35000000.0,75668868.0,PG,English,USA,0
The Grandmaster,2013,122.0,38600000.0,6594136.0,PG-13,Mandarin,Hong Kong,13000
Water for Elephants,2011,120.0,38000000.0,58700247.0,PG-13,English,USA,33000
Dragon Nest: Warriors' Dawn,2014,88.0,40000000.0,,,English,China,0
The Hurricane,1999,146.0,38000000.0,50668906.0,R,English,USA,0
Enough,2002,115.0,38000000.0,39177215.0,PG-13,English,USA,0
Heartbreakers,2001,123.0,35000000.0,40334024.0,PG-13,English,USA,989
Paul Blart: Mall Cop 2,2015,94.0,30000000.0,71038190.0,PG,English,USA,8000
Angel Eyes,2001,102.0,38000000.0,24044532.0,R,English,USA,689
Joe Somebody,2001,98.0,38000000.0,22770864.0,PG,English,USA,168
The Ninth Gate,1999,133.0,38000000.0,18653746.0,R,English,Spain,0
Extreme Measures,1996,118.0,38000000.0,17305211.0,R,English,USA,352
Rock Star,2001,105.0,57000000.0,16991902.0,R,English,USA,0
Precious,2009,109.0,10000000.0,47536959.0,R,English,USA,12000
White Squall,1996,129.0,38000000.0,10300000.0,PG-13,English,USA,911
The Thing,1982,109.0,15000000.0,13782838.0,R,English,USA,23000
Riddick,2013,127.0,38000000.0,41997790.0,R,English,USA,39000
Switchback,1997,118.0,37000000.0,6482195.0,R,English,USA,389
Texas Rangers,2001,110.0,38000000.0,623374.0,PG-13,English,USA,474
City of Ember,2008,90.0,55000000.0,7871693.0,PG,English,USA,0
The Master,2012,144.0,32000000.0,16377274.0,R,English,USA,27000
Virgin Territory,2007,97.0,38000000.0,,R,English,Italy,366
The Express,2008,130.0,40000000.0,9589875.0,PG,English,USA,0
The 5th Wave,2016,112.0,38000000.0,34912982.0,PG-13,English,USA,14000
Creed,2015,133.0,35000000.0,109712885.0,PG-13,English,USA,70000
The Town,2010,150.0,37000000.0,92173235.0,R,English,USA,29000
What to Expect When You're Expecting,2012,110.0,40000000.0,41102171.0,PG-13,English,USA,14000
Burn After Reading,2008,96.0,37000000.0,60338891.0,R,English,USA,0
Nim's Island,2008,96.0,37000000.0,48006503.0,PG,English,USA,0
Rush,2013,123.0,38000000.0,26903709.0,R,English,UK,83000
Magnolia,1999,188.0,37000000.0,22450975.0,R,English,USA,13000
Cop Out,2010,107.0,37000000.0,44867349.0,R,English,USA,0
How to Be Single,2016,110.0,38000000.0,46813366.0,R,English,USA,15000
Dolphin Tale,2011,113.0,37000000.0,72279690.0,PG,English,USA,0
Twilight,2008,122.0,37000000.0,191449475.0,PG-13,English,USA,19000
John Q,2002,116.0,36000000.0,71026631.0,PG-13,English,USA,0
Blue Streak,1999,93.0,65000000.0,68208190.0,PG-13,English,USA,0
We're the Millers,2013,118.0,37000000.0,150368971.0,R,English,USA,35000
Obitaemyy ostrov,2009,115.0,29500000.0,,,Russian,Russia,240
Breakdown,1997,93.0,36000000.0,50129186.0,R,English,USA,0
Never Say Never Again,1983,121.0,36000000.0,55500000.0,PG,English,UK,0
Hot Tub Time Machine,2010,101.0,36000000.0,50213619.0,R,English,USA,12000
Dolphin Tale 2,2014,107.0,36000000.0,42019483.0,PG,English,USA,0
Reindeer Games,2000,124.0,34000000.0,23360779.0,R,English,USA,852
A Man Apart,2003,109.0,36000000.0,26183197.0,R,English,USA,0
Aloha,2015,105.0,37000000.0,20991497.0,PG-13,English,USA,11000
Ghosts of Mississippi,1996,130.0,36000000.0,13052741.0,PG-13,English,USA,591
Snow Falling on Cedars,1999,127.0,36000000.0,14378353.0,PG-13,English,USA,846
The Rite,2011,114.0,37000000.0,33037754.0,PG-13,English,USA,23000
Gattaca,1997,106.0,36000000.0,12339633.0,PG-13,English,USA,17000
Isn't She Great,2000,95.0,36000000.0,2954405.0,R,English,USA,133
Space Chimps,2008,81.0,37000000.0,30105968.0,G,English,USA,279
Head of State,2003,95.0,35200000.0,37788228.0,PG-13,English,USA,638
The Hangover,2009,108.0,35000000.0,277313371.0,R,English,USA,24000
Ip Man 3,2015,105.0,36000000.0,2126511.0,PG-13,Cantonese,Hong Kong,12000
Austin Powers: The Spy Who Shagged Me,1999,95.0,33000000.0,205399422.0,PG-13,English,USA,0
Batman,1989,126.0,35000000.0,251188924.0,PG-13,English,USA,12000
There Be Dragons,2011,102.0,36000000.0,1068392.0,PG-13,English,Spain,2000
Lethal Weapon 3,1992,121.0,35000000.0,144731527.0,R,English,USA,0
The Blind Side,2009,129.0,29000000.0,255950375.0,PG-13,English,USA,38000
Spy Kids,2001,88.0,35000000.0,112692062.0,PG,English,USA,0
Horrible Bosses,2011,106.0,35000000.0,117528646.0,R,English,USA,31000
True Grit,2010,110.0,38000000.0,171031347.0,PG-13,English,USA,36000
The Devil Wears Prada,2006,109.0,35000000.0,124732962.0,PG-13,English,USA,0
Star Trek: The Motion Picture,1979,143.0,35000000.0,82300000.0,PG,English,USA,0
Identity Thief,2013,120.0,35000000.0,134455175.0,R,English,USA,17000
Cape Fear,1991,128.0,35000000.0,79100000.0,R,English,USA,0
21,2008,123.0,35000000.0,81159365.0,PG-13,English,USA,0
Trainwreck,2015,129.0,35000000.0,110008260.0,R,English,Japan,25000
Guess Who,2005,105.0,35000000.0,67962333.0,PG-13,English,USA,919
The English Patient,1996,162.0,27000000.0,78651430.0,R,English,USA,0
L.A. Confidential,1997,138.0,35000000.0,64604977.0,R,English,USA,11000
Sky High,2005,100.0,35000000.0,63939454.0,PG,English,USA,0
In & Out,1997,90.0,35000000.0,63826569.0,PG-13,English,USA,0
Species,1995,108.0,35000000.0,60054449.0,R,English,USA,0
A Nightmare on Elm Street,1984,101.0,1800000.0,26505000.0,X,English,USA,10000
The Cell,2000,109.0,33000000.0,61280963.0,R,English,USA,0
The Man in the Iron Mask,1998,132.0,35000000.0,56876365.0,PG-13,English,USA,0
Secretariat,2010,123.0,35000000.0,59699513.0,PG,English,USA,0
TMNT,2007,87.0,34000000.0,54132596.0,PG,English,Hong Kong,0
Radio,2003,109.0,35000000.0,52277485.0,PG,English,USA,0
Friends with Benefits,2011,109.0,35000000.0,55802754.0,R,English,USA,41000
Neighbors 2: Sorority Rising,2016,92.0,35000000.0,55291815.0,R,English,USA,0
Saving Mr. Banks,2013,125.0,35000000.0,83299761.0,PG-13,English,USA,39000
Malcolm X,1992,202.0,33000000.0,48169908.0,PG-13,English,USA,0
This Is 40,2012,134.0,35000000.0,67523385.0,R,English,USA,18000
Old Dogs,2009,88.0,35000000.0,49474048.0,PG,English,USA,0
Underworld: Rise of the Lycans,2009,92.0,35000000.0,45802315.0,R,English,USA,0
License to Wed,2007,91.0,35000000.0,43792641.0,PG-13,English,USA,913
The Benchwarmers,2006,75.0,33000000.0,57651794.0,PG-13,English,USA,0
Must Love Dogs,2005,98.0,30000000.0,43894863.0,PG-13,English,USA,0
Donnie Brasco,1997,147.0,35000000.0,41954997.0,R,English,USA,0
Resident Evil,2002,100.0,33000000.0,39532308.0,R,English,UK,0
Poltergeist,1982,120.0,10700000.0,76600000.0,PG,English,USA,11000
The Ladykillers,2004,104.0,35000000.0,39692139.0,R,English,USA,0
Max Payne,2008,103.0,35000000.0,40687294.0,PG-13,English,Canada,0
In Time,2011,109.0,40000000.0,37553932.0,PG-13,English,USA,52000
The Back-up Plan,2010,104.0,35000000.0,37481242.0,PG-13,English,USA,0
Something Borrowed,2011,112.0,35000000.0,39026186.0,PG-13,English,USA,13000
Black Knight,2001,95.0,50000000.0,33422806.0,PG-13,English,USA,0
The Bad News Bears,1976,102.0,,,PG,English,USA,0
Street Fighter,1994,102.0,35000000.0,33423521.0,PG-13,English,Japan,0
The Pianist,2002,150.0,35000000.0,32519322.0,R,English,France,21000
The Nativity Story,2006,101.0,30000000.0,37617947.0,PG,English,USA,0
House of Wax,2005,108.0,30000000.0,32048809.0,R,English,Australia,0
Closer,2004,98.0,27000000.0,33987757.0,R,English,USA,12000
J. Edgar,2011,137.0,35000000.0,37304950.0,R,English,USA,16000
Mirrors,2008,112.0,35000000.0,30691439.0,R,English,USA,5000
Queen of the Damned,2002,101.0,35000000.0,30307804.0,R,English,USA,0
Predator 2,1990,103.0,35000000.0,30669413.0,R,English,USA,0
Untraceable,2008,101.0,35000000.0,28687835.0,R,English,USA,0
Blast from the Past,1999,112.0,35000000.0,26494611.0,PG-13,English,USA,0
Flash Gordon,1980,111.0,20000000.0,,PG,English,UK,12000
Jersey Girl,2004,102.0,35000000.0,25266129.0,PG-13,English,USA,0
Alex Cross,2012,101.0,35000000.0,25863915.0,PG-13,English,USA,11000
Midnight in the Garden of Good and Evil,1997,155.0,30000000.0,25078937.0,R,English,USA,0
Heist,2015,93.0,19000000.0,,R,English,USA,0
Nanny McPhee Returns,2010,109.0,35000000.0,28995450.0,PG,English,UK,0
Hoffa,1992,140.0,35000000.0,24276500.0,R,English,USA,949
The X Files: I Want to Believe,2008,108.0,30000000.0,20981633.0,PG-13,English,USA,0
Ella Enchanted,2004,96.0,35000000.0,22913677.0,PG,English,USA,0
Concussion,2015,123.0,35000000.0,34531832.0,PG-13,English,UK,23000
Abduction,2011,106.0,35000000.0,28064226.0,PG-13,English,USA,13000
Valiant,2005,76.0,35000000.0,19447478.0,G,English,UK,538
Wonder Boys,2000,107.0,55000000.0,19389454.0,R,English,USA,0
Superhero Movie,2008,82.0,35000000.0,25871834.0,PG-13,English,USA,0
Broken City,2013,109.0,35000000.0,19692608.0,R,English,USA,0
Cursed,2005,99.0,35000000.0,19294901.0,PG-13,English,USA,0
Premium Rush,2012,91.0,35000000.0,20275446.0,PG-13,English,USA,20000
Hot Pursuit,2015,87.0,35000000.0,34507079.0,PG-13,English,USA,0
The Four Feathers,2002,125.0,35000000.0,18306166.0,PG-13,English,UK,0
Parker,2013,118.0,35000000.0,17609982.0,R,English,USA,17000
Wimbledon,2004,98.0,31000000.0,16831505.0,PG-13,English,UK,0
Furry Vengeance,2010,92.0,35000000.0,17596256.0,PG,English,USA,0
Bait,2012,93.0,30000000.0,,R,English,Australia,0
Krull,1983,116.0,27000000.0,,PG,English,UK,0
Lions for Lambs,2007,92.0,35000000.0,14998070.0,R,English,USA,0
Flight of the Intruder,1991,115.0,35000000.0,14587732.0,PG-13,English,USA,452
Walk Hard: The Dewey Cox Story,2007,120.0,35000000.0,18317151.0,R,English,USA,0
The Shipping News,2001,111.0,35000000.0,11405825.0,R,English,USA,0
American Outlaws,2001,94.0,35000000.0,13264986.0,PG-13,English,USA,433
The Young Victoria,2009,100.0,35000000.0,10991381.0,PG,English,UK,0
Whiteout,2009,101.0,35000000.0,10268846.0,R,English,USA,0
The Tree of Life,2011,139.0,32000000.0,13303319.0,PG-13,English,USA,39000
Knock Off,1998,91.0,35000000.0,10076136.0,R,English,Aruba,471
Sabotage,2014,109.0,35000000.0,10499968.0,R,English,USA,10000
The Order,2003,102.0,38000000.0,7659747.0,R,English,USA,704
Punisher: War Zone,2008,103.0,35000000.0,7948159.0,R,English,USA,0
Zoom,2006,83.0,35000000.0,11631245.0,PG,English,USA,494
The Walk,2015,123.0,35000000.0,10137502.0,PG,English,USA,24000
Warriors of Virtue,1997,101.0,35000000.0,6448817.0,PG,English,USA,0
A Good Year,2006,117.0,35000000.0,7458269.0,PG-13,English,USA,9000
Radio Flyer,1992,114.0,35000000.0,4651977.0,PG-13,English,USA,892
"Blood In, Blood Out",1993,330.0,35000000.0,4496583.0,R,English,USA,6000
Smilla's Sense of Snow,1997,121.0,35000000.0,2221994.0,R,English,Denmark,561
Femme Fatale,2002,114.0,35000000.0,6592103.0,R,English,France,675
Lion of the Desert,1980,156.0,35000000.0,,PG,English,Libya,0
The Horseman on the Roof,1995,135.0,,1877179.0,R,French,France,262
Ride with the Devil,1999,148.0,35000000.0,630779.0,R,English,USA,633
Biutiful,2010,148.0,,5100937.0,R,Spanish,Mexico,29000
Bandidas,2006,93.0,32000000.0,,PG-13,English,France,0
Black Water Transit,2009,,23000000.0,,,English,USA,26
The Maze Runner,2014,113.0,34000000.0,102413606.0,PG-13,English,USA,38000
Unfinished Business,2015,91.0,35000000.0,10214013.0,R,English,USA,0
The Age of Innocence,1993,139.0,30000000.0,32000000.0,PG,English,USA,0
The Fountain,2006,96.0,35000000.0,10139254.0,PG-13,English,USA,23000
Chill Factor,1999,102.0,34000000.0,11227940.0,R,English,USA,120
Stolen,2012,96.0,35000000.0,183125.0,R,English,USA,0
Ponyo,2008,101.0,34000000.0,15081783.0,G,Japanese,Japan,0
The Longest Ride,2015,128.0,34000000.0,37432299.0,PG-13,English,USA,23000
The Astronaut's Wife,1999,109.0,34000000.0,10654581.0,R,English,USA,1000
I Dreamed of Africa,2000,114.0,34000000.0,6543194.0,PG-13,English,USA,314
Playing for Keeps,2012,105.0,35000000.0,13101142.0,PG-13,English,USA,0
Mandela: Long Walk to Freedom,2013,141.0,35000000.0,8324748.0,PG-13,English,UK,13000
Reds,1981,195.0,35000000.0,,PG,English,USA,0
A Few Good Men,1992,138.0,40000000.0,141340178.0,R,English,USA,0
Exit Wounds,2001,101.0,33000000.0,51758599.0,R,English,USA,742
Big Momma's House,2000,99.0,30000000.0,117559438.0,PG-13,English,USA,1000
Thunder and the House of Magic,2013,85.0,34000000.0,4091.0,,English,Belgium,0
The Darkest Hour,2011,89.0,30000000.0,21426805.0,PG-13,English,USA,0
Step Up Revolution,2012,99.0,33000000.0,35057332.0,PG-13,English,USA,19000
Snakes on a Plane,2006,105.0,33000000.0,34014398.0,R,English,Germany,4000
The Watcher,2000,97.0,33000000.0,28927720.0,R,English,USA,463
The Punisher,2004,140.0,33000000.0,33682273.0,R,English,USA,4000
Goal! The Dream Begins,2005,118.0,10000000.0,4280577.0,PG-13,English,USA,0
Safe,2012,94.0,30000000.0,17120019.0,R,English,USA,12000
Pushing Tin,1999,124.0,38000000.0,8406264.0,R,English,USA,783
Star Wars: Episode VI - Return of the Jedi,1983,134.0,32500000.0,309125409.0,PG,English,USA,14000
Doomsday,2008,113.0,30000000.0,10955425.0,R,English,UK,0
The Reader,2008,124.0,32000000.0,34180954.0,R,English,USA,15000
Wanderlust,2012,98.0,,17225675.0,R,English,USA,0
Elf,2003,97.0,33000000.0,173381405.0,PG,English,USA,21000
Phenomenon,1996,123.0,32000000.0,104632573.0,PG,English,USA,0
Snow Dogs,2002,99.0,35000000.0,81150692.0,PG,English,Canada,0
Scrooged,1988,101.0,32000000.0,60328558.0,PG-13,English,USA,11000
Nacho Libre,2006,92.0,32000000.0,80197993.0,PG,English,Germany,0
Bridesmaids,2011,131.0,32500000.0,169076745.0,R,English,USA,27000
This Is the End,2013,107.0,32000000.0,101470202.0,R,English,USA,97000
Stigmata,1999,103.0,29000000.0,50041732.0,R,English,USA,0
Men of Honor,2000,129.0,32000000.0,48814909.0,R,English,USA,0
Takers,2010,107.0,20000000.0,57744720.0,PG-13,English,USA,0
The Big Wedding,2013,89.0,35000000.0,21784432.0,R,English,USA,0
"Big Mommas: Like Father, Like Son",2011,113.0,32000000.0,37911876.0,PG-13,English,USA,0
Source Code,2011,93.0,32000000.0,54696902.0,PG-13,English,USA,56000
Alive,1993,120.0,32000000.0,36733909.0,R,English,USA,0
The Number 23,2007,98.0,32000000.0,35063732.0,R,English,USA,10000
The Young and Prodigious T.S. Spivet,2013,105.0,33000000.0,99462.0,PG,English,France,5000
1941,1979,142.0,35000000.0,,PG,English,USA,2000
Dreamer: Inspired by a True Story,2005,98.0,32000000.0,32701088.0,PG,English,USA,0
A History of Violence,2005,96.0,32000000.0,31493782.0,R,English,USA,0
Transporter 2,2005,87.0,32000000.0,43095600.0,PG-13,English,France,0
The Quick and the Dead,1995,107.0,32000000.0,18636537.0,R,English,Japan,0
Laws of Attraction,2004,90.0,28000000.0,17848322.0,PG-13,English,Ireland,702
Bringing Out the Dead,1999,121.0,55000000.0,16640210.0,R,English,USA,0
Repo Men,2010,119.0,32000000.0,13763130.0,R,English,USA,12000
Dragon Wars: D-War,2007,107.0,35000000.0,10956379.0,PG-13,English,South Korea,0
Bogus,1996,110.0,30000000.0,4357000.0,PG,English,USA,350
The Incredible Burt Wonderstone,2013,100.0,30000000.0,22525921.0,PG-13,English,USA,13000
Cats Don't Dance,1997,75.0,32000000.0,3562749.0,G,English,USA,643
Cradle Will Rock,1999,132.0,32000000.0,2899970.0,R,English,USA,625
The Good German,2006,105.0,32000000.0,1304837.0,R,English,USA,559
George and the Dragon,2004,93.0,32000000.0,,PG,English,USA,290
Apocalypse Now,1979,289.0,31500000.0,78800000.0,R,English,USA,19000
Going the Distance,2010,102.0,32000000.0,17797316.0,R,English,USA,0
Mr. Holland's Opus,1995,143.0,6500000.0,82528097.0,PG,English,USA,0
Criminal,2016,113.0,31500000.0,14268533.0,R,English,UK,0
Out of Africa,1985,161.0,31000000.0,87100000.0,PG,English,USA,0
Flight,2012,138.0,31000000.0,93749203.0,R,English,USA,64000
Moonraker,1979,126.0,34000000.0,62700000.0,PG,English,UK,0
The Grand Budapest Hotel,2014,99.0,25000000.0,59073773.0,R,English,USA,149000
Hearts in Atlantis,2001,101.0,31000000.0,24185781.0,PG-13,English,USA,0
Arachnophobia,1990,103.0,31000000.0,53133888.0,PG-13,English,USA,0
Frequency,2000,118.0,31000000.0,44983704.0,PG-13,English,USA,0
Vacation,2015,99.0,31000000.0,58879132.0,R,English,USA,28000
Get Shorty,1995,105.0,30250000.0,72077000.0,R,English,USA,0
Chicago,2002,113.0,45000000.0,170684505.0,PG-13,English,USA,0
Big Daddy,1999,93.0,34200000.0,163479795.0,PG-13,English,USA,0
American Pie 2,2001,108.0,30000000.0,145096820.0,R,English,USA,0
Toy Story,1995,74.0,30000000.0,191796233.0,G,English,USA,0
Speed,1994,116.0,25000000.0,121248145.0,R,English,USA,0
The Vow,2012,104.0,30000000.0,125014030.0,PG-13,English,USA,32000
Extraordinary Measures,2010,106.0,31000000.0,11854694.0,PG,English,USA,0
Remember the Titans,2000,120.0,30000000.0,115648585.0,PG,English,USA,0
The Hunt for Red October,1990,135.0,30000000.0,122012643.0,PG,English,USA,0
Lee Daniels' The Butler,2013,132.0,30000000.0,116631310.0,PG-13,English,USA,41000
Dodgeball: A True Underdog Story,2004,92.0,20000000.0,114324072.0,PG-13,English,USA,0
The Addams Family,1991,99.0,38000000.0,113502246.0,PG-13,English,USA,5000
Ace Ventura: When Nature Calls,1995,90.0,30000000.0,108360000.0,PG-13,English,USA,0
The Princess Diaries,2001,111.0,37000000.0,108244774.0,G,English,USA,0
The First Wives Club,1996,103.0,26000000.0,105444419.0,PG,English,USA,0
Se7en,1995,127.0,33000000.0,100125340.0,R,English,USA,39000
District 9,2009,112.0,30000000.0,115646235.0,R,English,South Africa,22000
The SpongeBob SquarePants Movie,2004,87.0,30000000.0,85416609.0,PG,English,USA,0
Mystic River,2003,138.0,25000000.0,90135191.0,R,English,USA,12000
Million Dollar Baby,2004,132.0,30000000.0,100422786.0,PG-13,English,USA,14000
Analyze This,1999,103.0,30000000.0,106694016.0,R,English,USA,0
The Notebook,2004,123.0,29000000.0,64286.0,PG-13,English,USA,57000
27 Dresses,2008,111.0,30000000.0,76806312.0,PG-13,English,USA,0
Hannah Montana: The Movie,2009,102.0,30000000.0,79566871.0,G,English,USA,0
Rugrats in Paris: The Movie,2000,78.0,30000000.0,76501438.0,G,English,Germany,181
The Prince of Tides,1991,132.0,30000000.0,74787599.0,R,English,USA,883
Legends of the Fall,1994,133.0,30000000.0,66528842.0,R,English,USA,11000
Up in the Air,2009,108.0,25000000.0,83813460.0,R,English,USA,19000
About Schmidt,2002,125.0,30000000.0,65010106.0,R,English,USA,0
Warm Bodies,2013,98.0,35000000.0,66359959.0,PG-13,English,USA,81000
Looper,2012,119.0,30000000.0,66468315.0,R,English,USA,75000
Down to Earth,2001,87.0,30000000.0,64172251.0,PG-13,English,USA,602
Babe,1995,91.0,30000000.0,66600000.0,G,English,Australia,5000
Hope Springs,2012,100.0,30000000.0,63536011.0,PG-13,English,USA,0
Forgetting Sarah Marshall,2008,118.0,30000000.0,62877175.0,R,English,USA,0
Four Brothers,2005,109.0,45000000.0,74484168.0,R,English,USA,0
Baby Mama,2008,99.0,30000000.0,60269340.0,PG-13,English,USA,0
Hope Floats,1998,114.0,30000000.0,60033780.0,PG-13,English,USA,0
Bride Wars,2009,89.0,30000000.0,58715510.0,PG,English,USA,0
Without a Paddle,2004,95.0,19000000.0,58156435.0,PG-13,English,USA,0
13 Going on 30,2004,98.0,37000000.0,56044241.0,PG-13,English,USA,0
Midnight in Paris,2011,94.0,17000000.0,56816662.0,PG-13,English,Spain,78000
The Nut Job,2014,85.0,42000000.0,64238770.0,PG,English,Canada,0
Blow,2001,124.0,30000000.0,52937130.0,R,English,USA,13000
Message in a Bottle,1999,131.0,55000000.0,52799004.0,PG-13,English,USA,0
Star Trek V: The Final Frontier,1989,107.0,27800000.0,55210049.0,PG,English,USA,0
Like Mike,2002,99.0,30000000.0,51432423.0,PG,English,USA,1000
Naked Gun 33 1/3: The Final Insult,1994,83.0,30000000.0,51109400.0,PG-13,English,USA,1000
A View to a Kill,1985,131.0,30000000.0,50300000.0,PG,English,UK,0
The Curse of the Were-Rabbit,2005,85.0,30000000.0,56068547.0,G,English,UK,0
P.S. I Love You,2007,126.0,30000000.0,53680848.0,PG-13,English,USA,20000
Racing Stripes,2005,102.0,,49186871.0,PG,English,USA,771
Atonement,2007,123.0,30000000.0,50921738.0,R,English,UK,12000
Letters to Juliet,2010,105.0,30000000.0,53021560.0,PG,English,USA,13000
Black Rain,1989,125.0,30000000.0,45645204.0,R,English,USA,0
The Three Stooges,2012,92.0,,44328238.0,PG,English,USA,13000
Corpse Bride,2005,77.0,40000000.0,53337608.0,PG,English,USA,0
Glory Road,2006,118.0,,42643187.0,PG,English,USA,0
Sicario,2015,121.0,30000000.0,46875468.0,R,English,USA,59000
Southpaw,2015,124.0,30000000.0,52418902.0,R,English,USA,44000
Drag Me to Hell,2009,99.0,30000000.0,42057340.0,PG-13,English,USA,11000
The Age of Adaline,2015,112.0,25000000.0,42478175.0,PG-13,English,USA,34000
Secondhand Lions,2003,111.0,30000000.0,41407470.0,PG,English,USA,0
Step Up 3D,2010,107.0,30000000.0,42385520.0,PG-13,English,USA,16000
Blue Crush,2002,104.0,30000000.0,40118420.0,PG-13,English,USA,0
Stranger Than Fiction,2006,113.0,38000000.0,40137776.0,PG-13,English,USA,13000
30 Days of Night,2007,113.0,32000000.0,39568996.0,R,English,USA,0
The Cabin in the Woods,2012,95.0,30000000.0,42043633.0,R,English,USA,66000
Meet the Spartans,2008,86.0,30000000.0,38232624.0,PG-13,English,USA,0
Midnight Run,1988,126.0,30000000.0,38413606.0,R,English,USA,0
The Running Man,1987,101.0,27000000.0,38122105.0,R,English,USA,0
Little Shop of Horrors,1986,102.0,25000000.0,38747385.0,PG-13,English,USA,0
Hanna,2011,111.0,30000000.0,40247512.0,PG-13,English,USA,38000
Mortal Kombat: Annihilation,1997,95.0,30000000.0,35927406.0,PG-13,English,USA,1000
Larry Crowne,2011,98.0,30000000.0,35565975.0,PG-13,English,USA,0
Carrie,2013,100.0,30000000.0,35266619.0,R,English,USA,39000
Take the Lead,2006,118.0,30000000.0,34703228.0,PG-13,English,USA,0
Gridiron Gang,2006,125.0,30000000.0,38432823.0,PG-13,English,USA,0
What's the Worst That Could Happen?,2001,94.0,45000000.0,32095318.0,PG-13,English,USA,304
9,2009,79.0,30000000.0,31743332.0,PG-13,English,USA,13000
Side Effects,2013,106.0,30000000.0,32154410.0,R,English,USA,29000
The Prince and Me,2004,111.0,,28165882.0,PG,English,USA,0
Winnie the Pooh,2011,63.0,30000000.0,26687172.0,G,English,USA,0
Dumb and Dumberer: When Harry Met Lloyd,2003,85.0,19000000.0,26096584.0,PG-13,English,USA,1000
Bulworth,1998,108.0,30000000.0,26525834.0,R,English,USA,0
Get on Up,2014,139.0,30000000.0,30513940.0,PG-13,English,USA,11000
One True Thing,1998,127.0,30000000.0,23209440.0,R,English,USA,592
Virtuosity,1995,106.0,30000000.0,24048000.0,R,English,USA,0
My Super Ex-Girlfriend,2006,95.0,30000000.0,22526144.0,PG-13,English,USA,1000
Deliver Us from Evil,2014,118.0,30000000.0,30523568.0,R,English,USA,18000
Sanctum,2011,108.0,30000000.0,23070045.0,R,English,USA,11000
Little Black Book,2004,105.0,35000000.0,20422207.0,PG-13,English,USA,484
The Five-Year Engagement,2012,131.0,30000000.0,28644770.0,R,English,USA,11000
Mr 3000,2004,104.0,30000000.0,21800302.0,PG-13,English,USA,491
The Next Three Days,2010,133.0,35000000.0,21129348.0,PG-13,English,USA,27000
Ultraviolet,2006,94.0,30000000.0,18500966.0,PG-13,English,USA,0
Assault on Precinct 13,2005,109.0,20000000.0,19976073.0,R,English,USA,999
The Replacement Killers,1998,96.0,30000000.0,18967571.0,R,English,USA,629
Fled,1996,105.0,25000000.0,17100000.0,R,English,USA,204
Eight Legged Freaks,2002,99.0,30000000.0,17266505.0,PG-13,English,USA,0
Love & Other Drugs,2010,112.0,30000000.0,32357532.0,R,English,USA,24000
88 Minutes,2007,108.0,30000000.0,16930884.0,R,English,USA,0
North Country,2005,126.0,35000000.0,18324242.0,R,English,USA,0
The Whole Ten Yards,2004,98.0,40000000.0,16323969.0,PG-13,English,USA,462
Splice,2009,104.0,26000000.0,16999046.0,R,English,Canada,12000
Howard the Duck,1986,110.0,35000000.0,16295774.0,PG,English,USA,0
Pride and Glory,2008,130.0,30000000.0,15709385.0,R,English,USA,0
The Cave,2005,93.0,30000000.0,14888028.0,PG-13,English,USA,0
Alex & Emma,2003,96.0,30000000.0,14208384.0,PG-13,English,USA,625
Wicker Park,2004,114.0,30000000.0,12831121.0,PG-13,English,USA,0
Fright Night,2011,106.0,30000000.0,18298649.0,R,English,USA,23000
The New World,2005,150.0,30000000.0,12712093.0,PG-13,English,USA,0
Wing Commander,1999,100.0,30000000.0,11576087.0,PG-13,English,USA,858
