movie_title,numreviews,imdb_score
The Nutty Professor,57.0,5.6
Hitch,171.0,6.6
George of the Jungle,53.0,5.4
American Wedding,153.0,6.3
Captain Phillips,491.0,7.9
Date Night,247.0,6.3
Casper,26.0,6.0
The Equalizer,292.0,7.2
Maid in Manhattan,114.0,5.1
Crimson Tide,82.0,7.3
The Pursuit of Happyness,201.0,8.0
Flightplan,231.0,6.2
Disclosure,55.0,6.0
City of Angels,110.0,6.7
Kill Bill: Vol. 1,354.0,8.1
Bowfinger,140.0,6.4
Kill Bill: Vol. 2,304.0,8.0
Tango & Cash,45.0,6.3
Death Becomes Her,49.0,6.4
Shanghai Noon,146.0,6.6
Executive Decision,60.0,6.4
Mr. Popper's Penguins,189.0,6.0
The Forbidden Kingdom,206.0,6.6
Free Birds,118.0,5.9
Alien 3,210.0,6.4
Evita,76.0,6.3
Ronin,149.0,7.3
The Ghost and the Darkness,62.0,6.8
Paddington,224.0,7.2
The Watch,265.0,5.7
The Hunted,135.0,6.0
Instinct,100.0,6.5
Stuck on You,123.0,5.8
Semi-Pro,164.0,5.8
The Pirates! Band of Misfits,238.0,6.7
Changeling,264.0,7.8
Chain Reaction,47.0,5.6
The Fan,50.0,5.8
The Phantom of the Opera,153.0,7.4
Elizabeth: The Golden Age,202.0,6.9
Æon Flux,178.0,5.5
Gods and Generals,84.0,6.3
Turbulence,44.0,4.7
Imagine That,93.0,5.6
Muppets Most Wanted,277.0,6.4
Thunderbirds,76.0,4.2
Burlesque,197.0,6.4
A Very Long Engagement,186.0,7.7
Lolita,103.0,7.7
Eye See You,66.0,5.3
Blade II,224.0,6.7
Seven Pounds,202.0,7.7
Bullet to the Head,279.0,5.7
The Godfather: Part III,110.0,7.6
Elizabethtown,190.0,6.4
"You, Me and Dupree",136.0,5.6
Superman II,121.0,6.8
Gigli,131.0,2.4
All the King's Men,127.0,6.2
Shaft,160.0,5.9
Anastasia,78.0,7.1
Moulin Rouge!,209.0,7.6
Domestic Disturbance,98.0,5.5
Black Mass,391.0,7.0
Flags of Our Fathers,279.0,7.1
Law Abiding Citizen,216.0,7.4
Grindhouse,250.0,7.6
Beloved,78.0,5.9
Lucky You,106.0,5.9
Catch Me If You Can,194.0,8.0
Zero Dark Thirty,558.0,7.4
The Break-Up,183.0,5.8
Mamma Mia!,238.0,6.3
Valentine's Day,186.0,5.7
The Dukes of Hazzard,144.0,5.1
The Thin Red Line,156.0,7.6
The Change-Up,215.0,6.4
Man on the Moon,140.0,7.4
Casino,133.0,8.2
From Paris with Love,203.0,6.5
Bulletproof Monk,127.0,5.5
"Me, Myself & Irene",155.0,6.5
Barnyard,98.0,5.6
Deck the Halls,71.0,4.9
The Twilight Saga: New Moon,299.0,4.6
Shrek,212.0,7.9
The Adjustment Bureau,413.0,7.1
Robin Hood: Prince of Thieves,67.0,6.9
Jerry Maguire,109.0,7.3
Ted,457.0,7.0
As Good as It Gets,156.0,7.7
Patch Adams,55.0,6.7
Anchorman 2: The Legend Continues,272.0,6.3
Mr. Deeds,117.0,5.8
Super 8,539.0,7.1
Erin Brockovich,169.0,7.3
How to Lose a Guy in 10 Days,140.0,6.4
22 Jump Street,330.0,7.1
Interview with the Vampire: The Vampire Chronicles,120.0,7.6
Yes Man,190.0,6.8
Central Intelligence,177.0,6.6
Stepmom,65.0,6.7
Daddy's Home,145.0,6.1
Into the Woods,321.0,6.0
Inside Man,230.0,7.6
Payback,143.0,7.1
Congo,55.0,5.0
We Bought a Zoo,257.0,7.1
Knowing,279.0,6.2
Failure to Launch,143.0,5.6
The Ring Two,196.0,5.4
"Crazy, Stupid, Love.",310.0,7.4
Garfield,116.0,5.0
Christmas with the Kranks,105.0,5.2
Moneyball,419.0,7.6
Outbreak,64.0,6.6
Non-Stop,359.0,7.0
Race to Witch Mountain,166.0,5.7
V for Vendetta,525.0,8.2
Shanghai Knights,165.0,6.2
Curious George,87.0,6.6
Herbie Fully Loaded,117.0,4.7
Don't Say a Word,113.0,6.3
Hansel & Gretel: Witch Hunters,349.0,6.1
Unfaithful,152.0,6.7
I Am Number Four,288.0,6.1
Syriana,358.0,7.0
13 Hours,204.0,7.4
The Book of Life,156.0,7.3
Firewall,171.0,5.8
Absolute Power,76.0,6.7
G.I. Jane,97.0,5.8
The Game,157.0,7.8
Silent Hill,267.0,6.6
The Replacements,118.0,6.5
American Reunion,291.0,6.7
The Negotiator,68.0,7.3
Into the Storm,228.0,5.8
Beverly Hills Cop III,36.0,5.5
Gremlins 2: The New Batch,105.0,6.3
The Judge,276.0,7.4
The Peacemaker,93.0,5.9
Resident Evil: Apocalypse,191.0,6.2
Bridget Jones: The Edge of Reason,143.0,5.9
Out of Time,124.0,6.5
On Deadly Ground,47.0,4.4
The Adventures of Sharkboy and Lavagirl 3-D,66.0,3.5
The Beach,118.0,6.6
Raising Helen,93.0,6.0
Ninja Assassin,235.0,6.4
For Love of the Game,113.0,6.5
Striptease,51.0,4.3
Marmaduke,98.0,4.2
Hereafter,315.0,6.5
Murder by Numbers,136.0,6.1
Assassins,61.0,6.3
Hannibal Rising,209.0,6.2
The Story of Us,99.0,5.9
The Host,298.0,5.9
Basic,131.0,6.5
Blood Work,146.0,6.4
The International,245.0,6.5
Escape from L.A.,104.0,5.7
The Iron Giant,162.0,8.0
The Life Aquatic with Steve Zissou,259.0,7.3
Free State of Jones,79.0,6.7
The Life of David Gale,141.0,7.5
Man of the House,59.0,5.4
Run All Night,236.0,6.6
Eastern Promises,356.0,7.7
Into the Blue,120.0,5.8
The Messenger: The Story of Joan of Arc,111.0,6.4
Your Highness,208.0,5.6
Dream House,174.0,6.0
Mad City,59.0,6.2
Baby's Day Out,22.0,5.9
The Scarlet Letter,34.0,5.1
Fair Game,214.0,6.8
Domino,186.0,6.0
Jade,50.0,5.1
Gamer,180.0,5.8
Beautiful Creatures,231.0,6.2
Death to Smoochy,105.0,6.4
Zoolander 2,226.0,4.8
The Big Bounce,75.0,4.9
What Planet Are You From?,82.0,5.6
Drive Angry,296.0,5.5
Street Fighter: The Legend of Chun-Li,103.0,3.7
The One,98.0,5.9
The Adventures of Ford Fairlane,48.0,6.3
Pirate Radio,195.0,7.4
Traffic,223.0,7.6
Indiana Jones and the Last Crusade,149.0,8.3
Anna Karenina,324.0,6.6
Chappie,371.0,6.9
The Bone Collector,75.0,6.7
Panic Room,233.0,6.8
The Tooth Fairy,32.0,4.6
Three Kings,150.0,7.1
Child 44,172.0,6.4
Rat Race,103.0,6.4
K-PAX,140.0,7.4
Kate & Leopold,125.0,6.4
Bedazzled,125.0,6.0
The Cotton Club,36.0,6.5
3:10 to Yuma,295.0,7.8
Taken 3,222.0,6.0
Out of Sight,158.0,7.0
The Cable Guy,72.0,6.0
Earth,34.0,7.8
Dick Tracy,72.0,6.1
The Thomas Crown Affair,152.0,6.8
Riding in Cars with Boys,89.0,6.4
First Blood,145.0,7.7
Solaris,144.0,8.1
Happily N'Ever After,93.0,4.5
Mary Reilly,46.0,5.8
My Best Friend's Wedding,84.0,6.3
America's Sweethearts,142.0,5.7
Insomnia,185.0,7.2
Star Trek: First Contact,143.0,7.6
Jonah Hex,178.0,4.7
Courage Under Fire,65.0,6.6
Liar Liar,73.0,6.8
The Infiltrator,72.0,7.3
Inchon,10.0,2.7
The Flintstones,35.0,4.8
Taken 2,358.0,6.3
Scary Movie 3,151.0,5.5
Miss Congeniality,140.0,6.2
Journey to the Center of the Earth,201.0,5.8
The Princess Diaries 2: Royal Engagement,77.0,5.7
The Pelican Brief,43.0,6.5
The Client,39.0,6.7
The Bucket List,207.0,7.4
Patriot Games,47.0,6.9
Monster-in-Law,132.0,5.5
Prisoners,454.0,8.1
Training Day,109.0,7.7
Galaxy Quest,213.0,7.3
Scary Movie 2,127.0,5.2
The Muppets,398.0,7.1
Blade,184.0,7.1
Coach Carter,127.0,7.2
Changing Lanes,167.0,6.5
Anaconda,119.0,4.6
Coyote Ugly,155.0,5.6
Love Actually,218.0,7.7
A Bug's Life,117.0,7.2
From Hell,208.0,6.8
The Specialist,38.0,5.4
Tin Cup,48.0,6.3
"Yours, Mine and Ours",8.0,7.2
Kicking & Screaming,94.0,5.6
The Hitchhiker's Guide to the Galaxy,276.0,6.8
Fat Albert,59.0,4.3
Resident Evil: Extinction,216.0,6.3
Blended,173.0,6.5
Last Holiday,99.0,6.4
The River Wild,42.0,6.3
The Indian in the Cupboard,25.0,5.9
Savages,339.0,6.5
Cellular,127.0,6.5
Johnny English,122.0,6.1
The Ant Bully,105.0,5.9
Dune,144.0,6.6
Across the Universe,156.0,7.4
Revolutionary Road,323.0,7.3
16 Blocks,199.0,6.6
Babylon A.D.,164.0,5.6
The Glimmer Man,39.0,5.3
Multiplicity,43.0,6.0
Aliens in the Attic,82.0,5.4
The Pledge,150.0,6.8
The Producers,168.0,6.4
The Phantom,60.0,4.9
All the Pretty Horses,85.0,5.8
Nixon,83.0,7.1
The Ghost Writer,343.0,7.2
Deep Rising,106.0,6.0
Miracle at St. Anna,158.0,6.0
Curse of the Golden Flower,189.0,7.0
Bangkok Dangerous,125.0,5.4
Big Trouble,87.0,6.5
Love in the Time of Cholera,115.0,6.4
Shadow Conspiracy,24.0,4.9
Johnny English Reborn,152.0,6.3
Foodfight!,12.0,1.7
Argo,656.0,7.7
The Fugitive,119.0,7.8
The Bounty Hunter,161.0,5.5
Sleepers,73.0,7.5
Rambo: First Blood Part II,96.0,6.4
The Juror,28.0,5.6
Pinocchio,105.0,7.5
Heaven's Gate,102.0,6.8
Underworld: Evolution,206.0,6.8
Victor Frankenstein,159.0,6.0
Finding Forrester,137.0,7.3
28 Days,116.0,6.0
Unleashed,177.0,7.0
The Sweetest Thing,99.0,5.1
The Firm,56.0,6.8
Charlie St. Cloud,117.0,6.5
The Mechanic,252.0,6.6
21 Jump Street,375.0,7.2
Notting Hill,150.0,7.0
Chicken Run,187.0,7.0
Along Came Polly,108.0,5.9
Boomerang,21.0,5.4
The Heat,270.0,6.6
Cleopatra,72.0,7.0
Here Comes the Boom,154.0,6.5
High Crimes,114.0,6.3
The Mirror Has Two Faces,27.0,6.5
The Mothman Prophecies,166.0,6.5
Brüno,288.0,5.8
Licence to Kill,117.0,6.6
Red Riding Hood,291.0,5.4
15 Minutes,151.0,6.1
Super Mario Bros.,36.0,4.0
Lord of War,168.0,7.6
Hero,283.0,7.9
One for the Money,127.0,5.3
The Interview,293.0,6.6
The Warrior's Way,95.0,6.3
Micmacs,213.0,7.2
8 Mile,119.0,7.0
Animal Kingdom: Let's go Ape,9.0,4.9
A Knight's Tale,167.0,6.9
The Medallion,98.0,5.2
The Sixth Sense,234.0,8.1
Man on a Ledge,258.0,6.6
The Big Year,108.0,6.2
The Karate Kid,81.0,7.2
American Hustle,538.0,7.3
The Proposal,224.0,6.7
Double Jeopardy,129.0,6.4
Back to the Future Part II,125.0,7.8
Lucy,433.0,6.4
Fifty Shades of Grey,362.0,4.1
Spy Kids 3-D: Game Over,93.0,4.1
A Time to Kill,71.0,7.4
Cheaper by the Dozen,104.0,5.8
Lone Survivor,319.0,7.6
A League of Their Own,41.0,7.2
The Conjuring 2,300.0,7.8
The Social Network,556.0,7.7
He's Just Not That Into You,161.0,6.4
Scary Movie 4,151.0,5.1
Scream 3,212.0,5.5
Back to the Future Part III,111.0,7.4
Get Hard,173.0,6.0
Bram Stoker's Dracula,181.0,7.5
Julie & Julia,252.0,7.0
42,216.0,7.5
The Talented Mr. Ripley,203.0,7.3
Dumb and Dumber To,218.0,5.7
Eight Below,118.0,7.3
The Intern,241.0,7.2
Ride Along 2,119.0,5.9
The Last of the Mohicans,89.0,7.8
Ray,209.0,7.7
Sin City,374.0,8.1
Vantage Point,235.0,6.6
"I Love You, Man",215.0,7.1
Shallow Hal,109.0,5.9
JFK,125.0,8.0
Big Momma's House 2,65.0,4.6
The Mexican,125.0,6.1
17 Again,191.0,6.4
The Other Woman,191.0,6.0
The Final Destination,221.0,5.2
Bridge of Spies,459.0,7.6
Behind Enemy Lines,131.0,6.4
Get Him to the Greek,222.0,6.4
Shall We Dance,118.0,6.1
Small Soldiers,100.0,6.1
Spawn,70.0,5.2
The Count of Monte Cristo,138.0,7.7
The Lincoln Lawyer,274.0,7.3
Unknown,349.0,6.9
The Prestige,341.0,8.5
Horrible Bosses 2,196.0,6.3
Escape from Planet Earth,83.0,5.9
Apocalypto,283.0,7.8
The Living Daylights,105.0,6.7
Predators,351.0,6.4
Legal Eagles,16.0,5.9
Secret Window,195.0,6.6
The Lake House,175.0,6.8
The Skeleton Key,193.0,6.5
The Odd Life of Timothy Green,169.0,6.6
Made of Honor,128.0,5.8
Jersey Boys,249.0,6.9
The Rainmaker,91.0,7.1
Gothika,207.0,5.8
Amistad,77.0,7.2
Medicine Man,25.0,6.0
Aliens vs. Predator: Requiem,211.0,4.7
Ri¢hie Ri¢h,19.0,5.2
Autumn in New York,101.0,5.5
Music and Lyrics,175.0,6.5
Paul,342.0,7.0
The Guilt Trip,147.0,5.8
Scream 4,420.0,6.2
8MM,138.0,6.5
The Doors,82.0,7.2
Sex Tape,201.0,5.1
Hanging Up,82.0,4.7
Final Destination 5,277.0,5.9
Mickey Blue Eyes,90.0,5.8
Pay It Forward,157.0,7.2
Fever Pitch,124.0,6.2
Drillbit Taylor,146.0,5.7
A Million Ways to Die in the West,303.0,6.1
The Shadow,70.0,6.0
Extremely Loud & Incredibly Close,283.0,6.9
Morning Glory,212.0,6.5
Get Rich or Die Tryin',98.0,5.0
The Art of War,110.0,5.7
Rent,146.0,7.0
Bless the Child,100.0,5.1
The Out-of-Towners,62.0,5.3
The Island of Dr. Moreau,70.0,4.4
The Musketeer,107.0,4.7
The Other Boleyn Girl,169.0,6.7
Sweet November,94.0,6.7
The Reaping,190.0,5.7
Mean Streets,112.0,7.4
Renaissance Man,12.0,6.1
Colombiana,201.0,6.4
The Magic Sword: Quest for Camelot,34.0,6.2
City by the Sea,104.0,6.2
At First Sight,55.0,5.9
Torque,86.0,4.0
City Hall,50.0,6.2
Showgirls,181.0,4.6
Marie Antoinette,260.0,6.4
Kiss of Death,40.0,5.9
Get Carter,102.0,5.1
The Impossible,371.0,7.6
Ishtar,49.0,4.2
Fantastic Mr. Fox,335.0,7.8
Life or Something Like It,86.0,5.8
Memoirs of an Invisible Man,40.0,5.9
Amélie,242.0,8.4
New York Minute,70.0,4.8
Alfie,135.0,6.2
Big Miracle,125.0,6.5
The Deep End of the Ocean,54.0,6.3
Feardotcom,104.0,3.3
Cirque du Freak: The Vampire's Assistant,157.0,5.9
Duplex,78.0,5.8
Soul Men,88.0,6.5
Raise the Titanic,32.0,4.7
Universal Soldier: The Return,75.0,4.1
Pandorum,219.0,6.8
Impostor,83.0,6.2
Extreme Ops,53.0,4.5
Just Visiting,61.0,5.8
Sunshine,308.0,7.3
A Thousand Words,70.0,5.9
Delgo,41.0,4.4
The Gunman,224.0,5.8
Alex Rider: Operation Stormbreaker,66.0,5.1
Disturbia,253.0,6.9
Hackers,79.0,6.2
The Hunting Party,94.0,6.9
The Hudsucker Proxy,77.0,7.3
The Warlords,106.0,7.1
Nomad: The Warrior,30.0,6.0
Snowpiercer,488.0,7.0
A Monster in Paris,63.0,6.8
The Last Shot,42.0,5.7
The Crow,118.0,7.6
Baahubali: The Beginning,44.0,8.4
The Time Traveler's Wife,214.0,7.1
Because I Said So,110.0,5.6
Frankenweenie,370.0,7.0
Serenity,276.0,8.0
Against the Ropes,76.0,5.3
Superman III,95.0,4.9
Grudge Match,211.0,6.4
Red Cliff,160.0,7.4
Sweet Home Alabama,97.0,6.1
The Ugly Truth,174.0,6.5
Sgt. Bilko,23.0,5.7
Spy Kids 2: Island of Lost Dreams,103.0,5.1
Star Trek: Generations,98.0,6.6
The Grandmaster,273.0,6.5
Water for Elephants,279.0,6.9
Dragon Nest: Warriors' Dawn,4.0,6.4
The Hurricane,65.0,7.6
Enough,98.0,5.6
Heartbreakers,116.0,6.2
Paul Blart: Mall Cop 2,76.0,4.4
Angel Eyes,106.0,5.6
Joe Somebody,55.0,5.5
The Ninth Gate,172.0,6.7
Extreme Measures,47.0,6.1
Rock Star,107.0,6.2
Precious,323.0,7.3
White Squall,37.0,6.6
The Thing,297.0,8.2
Riddick,302.0,6.4
Switchback,38.0,6.4
Texas Rangers,31.0,5.2
City of Ember,118.0,6.5
The Master,546.0,7.1
Virgin Territory,21.0,4.8
The Express,86.0,7.3
The 5th Wave,194.0,5.2
Creed,437.0,7.7
The Town,378.0,7.6
What to Expect When You're Expecting,170.0,5.7
Burn After Reading,341.0,7.0
Nim's Island,139.0,6.0
Rush,393.0,8.1
Magnolia,224.0,8.0
Cop Out,203.0,5.6
How to Be Single,148.0,6.1
Dolphin Tale,131.0,6.9
Twilight,350.0,5.2
John Q,129.0,7.0
Blue Streak,40.0,6.3
We're the Millers,289.0,7.0
Obitaemyy ostrov,14.0,5.3
Breakdown,72.0,6.9
Never Say Never Again,89.0,6.2
Hot Tub Time Machine,265.0,6.4
Dolphin Tale 2,54.0,6.4
Reindeer Games,126.0,5.7
A Man Apart,110.0,6.1
Aloha,138.0,5.4
Ghosts of Mississippi,31.0,6.7
Snow Falling on Cedars,95.0,6.8
The Rite,267.0,6.0
Gattaca,175.0,7.8
Isn't She Great,63.0,5.3
Space Chimps,85.0,4.5
Head of State,44.0,5.4
The Hangover,334.0,7.8
Ip Man 3,78.0,7.2
Austin Powers: The Spy Who Shagged Me,199.0,6.6
Batman,186.0,7.6
There Be Dragons,77.0,5.9
Lethal Weapon 3,68.0,6.7
The Blind Side,261.0,7.7
Spy Kids,122.0,5.4
Horrible Bosses,340.0,6.9
True Grit,493.0,7.7
The Devil Wears Prada,208.0,6.8
Star Trek: The Motion Picture,134.0,6.4
Identity Thief,275.0,5.7
Cape Fear,120.0,7.3
21,144.0,6.8
Trainwreck,332.0,6.3
Guess Who,104.0,5.9
The English Patient,116.0,7.4
L.A. Confidential,177.0,8.3
Sky High,127.0,6.2
In & Out,83.0,6.3
Species,97.0,5.8
A Nightmare on Elm Street,256.0,7.5
The Cell,225.0,6.3
The Man in the Iron Mask,83.0,6.4
Secretariat,160.0,7.2
TMNT,191.0,6.3
Radio,74.0,6.9
Friends with Benefits,238.0,6.6
Neighbors 2: Sorority Rising,177.0,6.0
Saving Mr. Banks,405.0,7.5
Malcolm X,61.0,7.7
This Is 40,285.0,6.2
Old Dogs,124.0,5.4
Underworld: Rise of the Lycans,164.0,6.6
License to Wed,120.0,5.3
The Benchwarmers,90.0,5.6
Must Love Dogs,120.0,5.9
Donnie Brasco,117.0,7.8
Resident Evil,226.0,6.7
Poltergeist,223.0,7.4
The Ladykillers,193.0,6.2
Max Payne,228.0,5.4
In Time,360.0,6.7
The Back-up Plan,148.0,5.3
Something Borrowed,128.0,5.9
Black Knight,46.0,4.8
The Bad News Bears,40.0,7.3
Street Fighter,63.0,3.8
The Pianist,193.0,8.5
The Nativity Story,122.0,6.8
House of Wax,228.0,5.3
Closer,212.0,7.3
J. Edgar,392.0,6.6
Mirrors,208.0,6.2
Queen of the Damned,137.0,5.2
Predator 2,119.0,6.2
Untraceable,195.0,6.2
Blast from the Past,95.0,6.6
Flash Gordon,100.0,6.4
Jersey Girl,164.0,6.2
Alex Cross,211.0,5.1
Midnight in the Garden of Good and Evil,91.0,6.6
Heist,44.0,6.1
Nanny McPhee Returns,97.0,6.1
Hoffa,32.0,6.6
The X Files: I Want to Believe,270.0,5.9
Ella Enchanted,89.0,6.3
Concussion,219.0,7.1
Abduction,180.0,5.0
Valiant,93.0,5.6
Wonder Boys,173.0,7.4
Superhero Movie,121.0,4.5
Broken City,298.0,6.2
Cursed,158.0,5.0
Premium Rush,248.0,6.5
Hot Pursuit,155.0,5.1
The Four Feathers,105.0,6.5
Parker,224.0,6.2
Wimbledon,129.0,6.3
Furry Vengeance,101.0,3.8
Bait,145.0,5.2
Krull,57.0,6.0
Lions for Lambs,227.0,6.2
Flight of the Intruder,13.0,5.7
Walk Hard: The Dewey Cox Story,171.0,6.7
The Shipping News,119.0,6.8
American Outlaws,44.0,6.0
The Young Victoria,188.0,7.3
Whiteout,166.0,5.5
The Tree of Life,584.0,6.7
Knock Off,67.0,4.8
Sabotage,233.0,5.7
The Order,112.0,5.1
Punisher: War Zone,151.0,6.0
Zoom,63.0,4.2
The Walk,335.0,7.4
Warriors of Virtue,24.0,4.6
A Good Year,147.0,6.9
Radio Flyer,10.0,6.9
"Blood In, Blood Out",12.0,8.0
Smilla's Sense of Snow,50.0,6.4
Femme Fatale,149.0,6.3
Lion of the Desert,24.0,8.4
The Horseman on the Roof,28.0,7.1
Ride with the Devil,95.0,6.8
Biutiful,288.0,7.5
Bandidas,58.0,5.7
Black Water Transit,,7.2
The Maze Runner,297.0,6.8
Unfinished Business,90.0,5.4
The Age of Innocence,56.0,7.2
The Fountain,274.0,7.3
Chill Factor,68.0,5.2
Stolen,98.0,5.5
Ponyo,256.0,7.7
The Longest Ride,117.0,7.1
The Astronaut's Wife,107.0,5.3
I Dreamed of Africa,52.0,5.6
Playing for Keeps,135.0,5.7
Mandela: Long Walk to Freedom,211.0,7.1
Reds,57.0,7.5
A Few Good Men,81.0,7.6
Exit Wounds,107.0,5.5
Big Momma's House,100.0,5.1
Thunder and the House of Magic,60.0,6.3
The Darkest Hour,195.0,4.9
Step Up Revolution,121.0,6.5
Snakes on a Plane,285.0,5.6
The Watcher,103.0,5.3
The Punisher,192.0,6.5
Goal! The Dream Begins,90.0,6.8
Safe,258.0,6.5
Pushing Tin,56.0,6.0
Star Wars: Episode VI - Return of the Jedi,197.0,8.4
Doomsday,254.0,6.0
The Reader,299.0,7.6
Wanderlust,163.0,5.6
Elf,152.0,6.9
Phenomenon,53.0,6.4
Snow Dogs,67.0,5.1
Scrooged,88.0,7.0
Nacho Libre,163.0,5.7
Bridesmaids,371.0,6.8
This Is the End,418.0,6.7
Stigmata,131.0,6.2
Men of Honor,98.0,7.2
Takers,119.0,6.2
The Big Wedding,133.0,5.6
"Big Mommas: Like Father, Like Son",88.0,4.4
Source Code,522.0,7.5
Alive,43.0,7.1
The Number 23,224.0,6.4
The Young and Prodigious T.S. Spivet,122.0,7.1
1941,56.0,5.9
Dreamer: Inspired by a True Story,75.0,6.9
A History of Violence,441.0,7.5
Transporter 2,163.0,6.3
The Quick and the Dead,63.0,6.4
Laws of Attraction,90.0,5.9
Bringing Out the Dead,163.0,6.8
Repo Men,197.0,6.3
Dragon Wars: D-War,93.0,3.6
Bogus,15.0,5.3
The Incredible Burt Wonderstone,260.0,5.9
Cats Don't Dance,18.0,6.9
Cradle Will Rock,70.0,6.9
The Good German,183.0,6.1
George and the Dragon,12.0,5.7
Apocalypse Now,261.0,8.5
Going the Distance,167.0,6.3
Mr. Holland's Opus,42.0,7.3
Criminal,130.0,6.3
Out of Africa,66.0,7.2
Flight,449.0,7.3
Moonraker,121.0,6.3
The Grand Budapest Hotel,536.0,8.1
Hearts in Atlantis,135.0,6.9
Arachnophobia,74.0,6.3
Frequency,168.0,7.3
Vacation,204.0,6.1
Get Shorty,96.0,6.9
Chicago,223.0,7.2
Big Daddy,112.0,6.4
American Pie 2,142.0,6.4
Toy Story,166.0,8.3
Speed,114.0,7.2
The Vow,214.0,6.8
Extraordinary Measures,126.0,6.5
Remember the Titans,157.0,7.8
The Hunt for Red October,104.0,7.6
Lee Daniels' The Butler,304.0,7.2
Dodgeball: A True Underdog Story,191.0,6.7
The Addams Family,55.0,6.8
Ace Ventura: When Nature Calls,59.0,6.3
The Princess Diaries,108.0,6.2
The First Wives Club,50.0,6.2
Se7en,216.0,8.6
District 9,472.0,8.0
The SpongeBob SquarePants Movie,89.0,7.0
Mystic River,229.0,8.0
Million Dollar Baby,268.0,8.1
Analyze This,145.0,6.7
The Notebook,177.0,7.9
27 Dresses,175.0,6.1
Hannah Montana: The Movie,131.0,4.2
Rugrats in Paris: The Movie,41.0,6.1
The Prince of Tides,30.0,6.6
Legends of the Fall,57.0,7.5
Up in the Air,391.0,7.4
About Schmidt,217.0,7.2
Warm Bodies,452.0,6.9
Looper,589.0,7.4
Down to Earth,61.0,5.4
Babe,79.0,6.8
Hope Springs,234.0,6.3
Forgetting Sarah Marshall,253.0,7.2
Four Brothers,123.0,6.9
Baby Mama,145.0,6.0
Hope Floats,65.0,5.9
Bride Wars,152.0,5.4
Without a Paddle,94.0,5.9
13 Going on 30,119.0,6.1
Midnight in Paris,487.0,7.7
The Nut Job,121.0,5.8
Blow,147.0,7.6
Message in a Bottle,85.0,6.1
Star Trek V: The Final Frontier,98.0,5.4
Like Mike,39.0,5.1
Naked Gun 33 1/3: The Final Insult,43.0,6.4
A View to a Kill,108.0,6.3
The Curse of the Were-Rabbit,209.0,7.5
P.S. I Love You,131.0,7.1
Racing Stripes,73.0,5.2
Atonement,316.0,7.8
Letters to Juliet,159.0,6.5
Black Rain,63.0,6.6
The Three Stooges,162.0,5.1
Corpse Bride,267.0,7.4
Glory Road,95.0,7.2
Sicario,478.0,7.6
Southpaw,305.0,7.5
Drag Me to Hell,397.0,6.6
The Age of Adaline,214.0,7.2
Secondhand Lions,82.0,7.6
Step Up 3D,138.0,6.2
Blue Crush,69.0,5.6
Stranger Than Fiction,253.0,7.6
30 Days of Night,304.0,6.6
The Cabin in the Woods,634.0,7.0
Meet the Spartans,111.0,2.7
Midnight Run,77.0,7.6
The Running Man,120.0,6.6
Little Shop of Horrors,63.0,6.9
Hanna,417.0,6.8
Mortal Kombat: Annihilation,59.0,3.7
Larry Crowne,218.0,6.1
Carrie,359.0,5.9
Take the Lead,101.0,6.7
Gridiron Gang,85.0,6.9
What's the Worst That Could Happen?,64.0,5.5
9,263.0,7.1
Side Effects,450.0,7.1
The Prince and Me,85.0,5.9
Winnie the Pooh,162.0,7.3
Dumb and Dumberer: When Harry Met Lloyd,85.0,3.4
Bulworth,110.0,6.8
Get on Up,165.0,6.9
One True Thing,64.0,7.0
Virtuosity,44.0,5.5
My Super Ex-Girlfriend,147.0,5.1
Deliver Us from Evil,242.0,6.2
Sanctum,244.0,5.9
Little Black Book,73.0,5.2
The Five-Year Engagement,232.0,6.2
Mr 3000,63.0,5.5
The Next Three Days,239.0,7.4
Ultraviolet,158.0,4.4
Assault on Precinct 13,152.0,6.3
The Replacement Killers,105.0,6.1
Fled,36.0,5.3
Eight Legged Freaks,181.0,5.4
Love & Other Drugs,219.0,6.7
88 Minutes,158.0,5.9
North Country,155.0,7.3
The Whole Ten Yards,74.0,5.5
Splice,368.0,5.8
Howard the Duck,81.0,4.6
Pride and Glory,154.0,6.7
The Cave,140.0,5.1
Alex & Emma,73.0,5.6
Wicker Park,98.0,7.0
Fright Night,358.0,6.4
The New World,222.0,6.7
Wing Commander,85.0,4.1
In Dreams,62.0,5.5
Dragonball: Evolution,130.0,2.7
The Last Stand,376.0,6.4
Godsend,130.0,4.8
Chasing Liberty,65.0,6.1
Hoodwinked Too! Hood vs. Evil,77.0,4.8
An Unfinished Life,107.0,7.0
The Imaginarium of Doctor Parnassus,292.0,6.8
Barney's Version,193.0,7.3
Runner Runner,184.0,5.6
Antitrust,123.0,6.1
Glory,60.0,7.9
Once Upon a Time in America,111.0,8.4
Dead Man Down,217.0,6.5
The Merchant of Venice,117.0,7.1
The Good Thief,105.0,6.6
Supercross,41.0,4.0
Miss Potter,124.0,7.0
The Promise,90.0,5.6
DOA: Dead or Alive,110.0,4.8
The Assassination of Jesse James by the Coward Robert Ford,273.0,7.5
1911,63.0,6.0
Little Nicholas,56.0,7.2
Wild Card,130.0,5.6
Machine Gun Preacher,134.0,6.8
Animals United,36.0,4.9
The Color of Freedom,46.0,7.1
United Passions,7.0,2.0
Grace of Monaco,132.0,5.7
A Warrior's Tail,5.0,4.1
Ripley's Game,56.0,6.7
